#   Data according to Phys. Rev. D 73 (2006) 085009 [hep-ph/0603048], for the Standard Model, with mH = 150 GeV, and from a calculation preserving s at T<1.5 MeV.
#                 T(MeV)                     g_*                   g_*,s
  7.2193096999999998E+03  8.4200603999999998E+01  8.4103882999999996E+01
  7.5453595999999998E+03  8.4229348999999999E+01  8.4137900999999999E+01
  7.8867758000000003E+03  8.4258735999999999E+01  8.4171774999999997E+01
  8.2442823000000008E+03  8.4289454000000006E+01  8.4206128000000007E+01
  8.6186376999999993E+03  8.4322299999999998E+01  8.4241671999999994E+01
  9.0106358999999993E+03  8.4358170000000001E+01  8.4279210000000006E+01
  9.4211083999999992E+03  8.4398061999999996E+01  8.4319632999999996E+01
  9.8509259000000002E+03  8.4443062999999995E+01  8.4363913999999994E+01
  1.0301000000000000E+04  8.4494331000000003E+01  8.4413096999999993E+01
  1.0772285000000000E+04  8.4553076000000004E+01  8.4468279999999993E+01
  1.1265781999999999E+04  8.4620534000000006E+01  8.4530595000000005E+01
  1.1782536000000000E+04  8.4697940000000003E+01  8.4601190000000003E+01
  1.2323644000000000E+04  8.4786501999999999E+01  8.4681201000000001E+01
  1.2890254000000001E+04  8.4887378999999996E+01  8.4771735000000007E+01
  1.3483566999999999E+04  8.5001655000000000E+01  8.4873855000000006E+01
  1.4104843000000001E+04  8.5130328000000006E+01  8.4988553999999993E+01
  1.4755397999999999E+04  8.5274326000000002E+01  8.5116777999999996E+01
  1.5436611999999999E+04  8.5434376999999998E+01  8.5259315000000001E+01
  1.6149932000000001E+04  8.5611363999999995E+01  8.5417063999999996E+01
  1.6896868999999999E+04  8.5805879000000004E+01  8.5590703000000005E+01
  1.7679008000000002E+04  8.6018343000000002E+01  8.5780764000000005E+01
  1.8498008999999998E+04  8.6249492000000004E+01  8.5988010000000003E+01
  1.9355607000000000E+04  8.6499696999999998E+01  8.6212918999999999E+01
  2.0253623000000000E+04  8.6769420999999994E+01  8.6456025999999994E+01
  2.1193960999999999E+04  8.7059039999999996E+01  8.6717791000000005E+01
  2.2178616000000002E+04  8.7368885000000006E+01  8.6998628999999994E+01
  2.3209677000000000E+04  8.7699202000000000E+01  8.7298878999999999E+01
  2.4289329000000002E+04  8.8050140999999996E+01  8.7618793999999994E+01
  2.5419864000000001E+04  8.8421716000000004E+01  8.7958511999999999E+01
  2.6603680000000000E+04  8.8813783000000001E+01  8.8318031000000005E+01
  2.7843287000000000E+04  8.9225999999999999E+01  8.8697181000000000E+01
  2.9141314999999999E+04  8.9657809000000000E+01  8.9095605000000006E+01
  3.0500517000000000E+04  9.0108407999999997E+01  8.9512730000000005E+01
  3.1923776999999998E+04  9.0576740000000001E+01  8.9947762999999995E+01
  3.3414112000000001E+04  9.1061492000000001E+01  9.0399676999999997E+01
  3.4974684999999998E+04  9.1561098000000001E+01  9.0867215999999999E+01
  3.6608805000000000E+04  9.2073757000000001E+01  9.1348903000000007E+01
  3.8319940000000002E+04  9.2597464000000002E+01  9.1843063999999998E+01
  4.0111716999999997E+04  9.3130037999999999E+01  9.2347845000000007E+01
  4.1987938000000002E+04  9.3669168999999997E+01  9.2861254000000002E+01
  4.3952582999999999E+04  9.4212462000000002E+01  9.3381190000000004E+01
  4.6009819000000003E+04  9.4757484000000005E+01  9.3905485999999996E+01
  4.8164008999999998E+04  9.5301815000000005E+01  9.4431950000000001E+01
  5.0419722999999998E+04  9.5843091000000001E+01  9.4958402000000007E+01
  5.2781745999999999E+04  9.6379047999999997E+01  9.5482718000000006E+01
  5.5255087000000000E+04  9.6907559000000006E+01  9.6002855999999994E+01
  5.7844993999999999E+04  9.7426665000000000E+01  9.6516896000000003E+01
  6.0556959000000003E+04  9.7934601000000001E+01  9.7023056999999994E+01
  6.3396733999999997E+04  9.8429812999999996E+01  9.7519724999999994E+01
  6.6370345000000001E+04  9.8910964000000007E+01  9.8005458000000004E+01
  6.9484096999999994E+04  9.9376953999999998E+01  9.8479009000000005E+01
  7.2744596000000005E+04  9.9826899999999995E+01  9.8939318000000000E+01
  7.6158758000000002E+04  1.0026013000000000E+02  9.9385508000000002E+01
  7.9733823000000004E+04  1.0067621000000000E+02  9.9816907000000000E+01
  8.3477376999999993E+04  1.0107487999999999E+02  1.0023300999999999E+02
  8.7397358999999997E+04  1.0145607000000000E+02  1.0063348999999999E+02
  9.1502084000000003E+04  1.0181986999999999E+02  1.0101818000000000E+02
  9.5800259000000005E+04  1.0216652000000001E+02  1.0138705000000000E+02
  1.0030100000000000E+05  1.0249639000000001E+02  1.0174021999999999E+02
  1.0501385000000001E+05  1.0280998000000000E+02  1.0207792000000001E+02
  1.0994882000000001E+05  1.0310787999999999E+02  1.0240051000000000E+02
  1.1511636000000000E+05  1.0339078000000001E+02  1.0270843000000001E+02
  1.2052744000000000E+05  1.0365943000000000E+02  1.0300221000000001E+02
  1.2619353999999999E+05  1.0391476000000000E+02  1.0328256000000000E+02
  1.3212667000000001E+05  1.0415737000000000E+02  1.0354994000000001E+02
  1.3833942999999999E+05  1.0438970000000000E+02  1.0380625000000001E+02
  1.4484498000000001E+05  1.0460742999999999E+02  1.0404833000000001E+02
  1.5000000000000000E+05  1.0478264000000000E+02  1.0423757000000001E+02
  2.0000000000000000E+05  1.0572519000000000E+02  1.0535223999999999E+02
  2.5000000000000000E+05  1.0553307000000000E+02  1.0535981000000000E+02
  3.0000000000000000E+05  1.0546785000000000E+02  1.0536715000000000E+02
  3.1595869000000000E+05  1.0534259000000000E+02  1.0528336000000000E+02
  3.2378008000000002E+05  1.0533980000000000E+02  1.0528543999999999E+02
  3.3197009000000003E+05  1.0533669000000000E+02  1.0528700000000001E+02
  3.4054607000000001E+05  1.0533416000000000E+02  1.0528874000000000E+02
  3.4952622999999998E+05  1.0533194000000000E+02  1.0529046000000000E+02
  3.5892960999999999E+05  1.0533008000000000E+02  1.0529223000000000E+02
  3.6877615999999997E+05  1.0532855000000001E+02  1.0529401000000000E+02
  3.7908677000000002E+05  1.0532733000000000E+02  1.0529583000000000E+02
  3.8988328999999998E+05  1.0532641000000000E+02  1.0529767000000000E+02
  4.0118864000000001E+05  1.0532576000000000E+02  1.0529953999999999E+02
  4.1302679999999999E+05  1.0532537000000001E+02  1.0530143000000000E+02
  4.2542287000000000E+05  1.0532522000000000E+02  1.0530334999999999E+02
  4.3840315000000002E+05  1.0532529000000000E+02  1.0530529000000000E+02
  4.5199516999999998E+05  1.0532557000000000E+02  1.0530726000000000E+02
  4.6622777000000002E+05  1.0532606000000000E+02  1.0530925000000001E+02
  4.8113112000000000E+05  1.0532670000000000E+02  1.0531125000000000E+02
  4.9673684999999998E+05  1.0532751000000000E+02  1.0531328000000001E+02
  5.1307804999999999E+05  1.0532847000000000E+02  1.0531533000000000E+02
  5.3018940000000002E+05  1.0532957000000000E+02  1.0531740000000001E+02
  5.4810717000000004E+05  1.0533080000000000E+02  1.0531949000000000E+02
  5.6686938000000000E+05  1.0533213000000001E+02  1.0532159000000000E+02
  5.8651582999999996E+05  1.0533356999999999E+02  1.0532371999999999E+02
  6.0708818999999994E+05  1.0533511000000000E+02  1.0532585000000000E+02
  6.2863008999999997E+05  1.0533673000000000E+02  1.0532801000000001E+02
  6.5118722999999998E+05  1.0533843000000000E+02  1.0533018000000000E+02
  6.7480745999999996E+05  1.0534020000000000E+02  1.0533235999999999E+02
  6.9954087000000000E+05  1.0534202999999999E+02  1.0533456000000000E+02
  7.2543993999999994E+05  1.0534390999999999E+02  1.0533677000000000E+02
  7.5255958999999997E+05  1.0534585000000000E+02  1.0533900000000000E+02
  7.8095733999999997E+05  1.0534784000000001E+02  1.0534123000000000E+02
  8.1069344999999995E+05  1.0534986000000001E+02  1.0534348000000000E+02
  8.4183096999999997E+05  1.0535192000000001E+02  1.0534573000000000E+02
  8.7443595999999996E+05  1.0535401000000000E+02  1.0534800000000000E+02
  9.0857757999999996E+05  1.0535612999999999E+02  1.0535026999999999E+02
  9.4432822999999998E+05  1.0535827999999999E+02  1.0535254999999999E+02
  9.8176377000000002E+05  1.0536045000000000E+02  1.0535484000000000E+02
  1.0209636000000000E+06  1.0536265000000000E+02  1.0535714000000000E+02
  1.0620108000000000E+06  1.0536485999999999E+02  1.0535944000000001E+02
  1.1049926000000001E+06  1.0536709000000000E+02  1.0536176000000000E+02
